object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853,compound_object,,AlbanyEveningJournal1853_DigSur_1.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_1.png
AlbanyEveningJournal1853_img1,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_1.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_1.png
AlbanyEveningJournal1853_img2,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_2.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_2.png
AlbanyEveningJournal1853_img3,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_3.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_3.png
AlbanyEveningJournal1853_img4,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_4.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_4.png
AlbanyEveningJournal1853_img5,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_5.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_5.png
AlbanyEveningJournal1853_img6,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_6.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_6.png
AlbanyEveningJournal1853_img7,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_7.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_7.png
AlbanyEveningJournal1853_img8,AlbanyEveningJournal1853,image,AlbanyEveningJournal1853_Original,AlbanyEveningJournal1853_DigSur_8.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1853/AlbanyEveningJournal1853_DigSur_8.png
AlbanyEveningJournal1879_Original,AlbanyEveningJournal1879,compound_object,,AlbanyEveningJournal1879_DigSur_1.png,/Users/owenmonroe/Desktop/GitHub/lonewoman_cb_test/objects/AlbanyEveningJournal1879/AlbanyEveningJournal1879_DigSur_1.png
